1	TRUMP	Madam Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States —	0
2	SYSTEM	(APPLAUSE)	0
3	TRUMP	— and my fellow Americans:	0
4	TRUMP	We meet tonight at a moment of unlimited potential.	0
5	TRUMP	As we begin a new Congress, I stand here ready to work with you to achieve historic breakthroughs for all Americans.	0
6	TRUMP	Millions of our fellow citizens are watching us now, gathered in this great chamber, hoping that we will govern not as two parties but as one nation.	0
7	SYSTEM	(APPLAUSE)	0
8	TRUMP	The agenda I will lay out this evening is not a Republican agenda or a Democrat agenda.	0
9	TRUMP	It’s the agenda of the American people.	0
10	TRUMP	"Many of us have campaigned on the same core promises: to defend American jobs and demand fair trade for American workers; to rebuild and revitalize our nation’s infrastructure; to reduce the price of healthcare and prescription drugs; to create an immigration system that is safe, lawful, modern, and secure; and to pursue a foreign policy that puts America’s interests first."	0
11	TRUMP	There is a new opportunity in American politics, if only we have the courage, together, to seize it.	0
12	SYSTEM	(APPLAUSE)	0
13	TRUMP	Victory is not winning for our party.	0
14	TRUMP	Victory is winning for our country.	0
15	SYSTEM	(APPLAUSE)	0
16	TRUMP	This year, America will recognize two important anniversaries that show us the majesty of America’s mission and the power of American pride.	0
17	TRUMP	"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the ""Great Crusade"" — the Allied liberation of Europe in World War II."	0
18	SYSTEM	(APPLAUSE)	0
19	TRUMP	On D-Day, June 6th, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny.	0
20	TRUMP	Here with us tonight are three of those incredible heroes: Private First Class Joseph Reilly, Staff Sergeant Irving Locker, and Sergeant Herman Zeitchik.	0
21	SYSTEM	(APPLAUSE)	0
22	TRUMP	Please.	0
23	TRUMP	Gentlemen, we salute you.	0
24	TRUMP	In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon.	0
25	TRUMP	Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin.	0
26	SYSTEM	(APPLAUSE)	0
27	TRUMP	Thank you, Buzz.	0
28	TRUMP	This year, American astronauts will go back to space on American rockets.	0
29	SYSTEM	(APPLAUSE)	0
30	TRUMP	In the 20th century, America saved freedom, transformed science, redefined the middle class, and, when you get down to it, there’s nothing anywhere in the world that can compete with America.	0
31	SYSTEM	(APPLAUSE)	0
32	TRUMP	Now we must step boldly and bravely into the next chapter of this great American adventure, and we must create a new standard of living for the 21st century.	0
33	TRUMP	An amazing quality of life for all of our citizens is within reach.	0
34	TRUMP	We can make our communities safer, our families stronger, our culture richer, our faith deeper, and our middle class bigger and more prosperous than ever before.	0
35	SYSTEM	(APPLAUSE)	0
36	TRUMP	But we must reject the politics of revenge, resistance, and retribution, and embrace the boundless potential of cooperation, compromise, and the common good.	0
37	SYSTEM	(APPLAUSE)	0
38	TRUMP	Together, we can break decades of political stalemate.	0
39	TRUMP	We can bridge old divisions, heal old wounds, build new coalitions, forge new solutions, and unlock the extraordinary promise of America’s future.	0
40	TRUMP	The decision is ours to make.	0
41	TRUMP	We must choose between greatness or gridlock, results or resistance, vision or vengeance, incredible progress or pointless destruction.	0
42	TRUMP	Tonight, I ask you to choose greatness.	0
43	SYSTEM	(APPLAUSE)	0
44	TRUMP	Over the last two years, my administration has moved with urgency and historic speed to confront problems neglected by leaders of both parties over many decades.	0
45	TRUMP	In just over two years since the election, we have launched an unprecedented economic boom — a boom that has rarely been seen before.	0
46	TRUMP	There’s been nothing like it.	0
47	TRUMP	We have created 5.3 million new jobs and, importantly, added 600,000 new manufacturing jobs — something which almost everyone said was impossible to do.	1
48	TRUMP	But the fact is, we are just getting started.	0
49	SYSTEM	(APPLAUSE)	0
50	TRUMP	Wages are rising at the fastest pace in decades and growing for blue-collar workers, who I promised to fight for.	0
51	TRUMP	They’re growing faster than anyone else thought possible.	0
52	TRUMP	Nearly 5 million Americans have been lifted off food stamps.	1
53	SYSTEM	(APPLAUSE)	0
54	TRUMP	The U.S. economy is growing almost twice as fast today as when I took office.	0
55	TRUMP	And we are considered, far and away, the hottest economy anywhere in the world.	0
56	TRUMP	Not even close.	0
57	SYSTEM	(APPLAUSE)	0
58	TRUMP	Unemployment has reached the lowest rate in over half a century.	0
59	SYSTEM	(APPLAUSE)	0
60	TRUMP	African American, Hispanic American, and Asian American unemployment have all reached their lowest levels ever recorded.	1
61	SYSTEM	(APPLAUSE)	0
62	TRUMP	Unemployment for Americans with disabilities has also reached an all-time low.	0
63	SYSTEM	(APPLAUSE)	0
64	TRUMP	More people are working now than at any time in the history of our country — 157 million people at work.	1
65	SYSTEM	(APPLAUSE)	0
66	TRUMP	We passed a massive tax cut for working families and doubled the child tax credit.	0
67	SYSTEM	(APPLAUSE)	0
68	TRUMP	We virtually ended the estate tax — or death tax, as it is often called — on small businesses for ranchers and also for family farms.	0
69	SYSTEM	(APPLAUSE)	0
70	TRUMP	We eliminated the very unpopular Obamacare individual mandate penalty.	0
71	SYSTEM	(APPLAUSE)	0
72	TRUMP	And to give critically ill patients access to lifesaving cures, we passed, very importantly, Right to Try.	0
73	SYSTEM	(APPLAUSE)	0
74	TRUMP	My administration has cut more regulations in a short period of time than any other administration during its entire tenure.	0
75	SYSTEM	(APPLAUSE)	0
76	TRUMP	Companies are coming back to our country in large numbers thanks to our historic reductions in taxes and regulations.	0
77	SYSTEM	(APPLAUSE)	0
78	TRUMP	And we have unleashed a revolution in American energy.	1
79	TRUMP	The United States is now the number-one producer of oil and natural gas anywhere in the world.	1
80	SYSTEM	(APPLAUSE)	0
81	TRUMP	And now, for the first time in 65 years, we are a net exporter of energy.	1
82	SYSTEM	(APPLAUSE)	0
83	TRUMP	After 24 months of rapid progress, our economy is the envy of the world, our military is the most powerful on Earth, by far, and America —	0
84	SYSTEM	(APPLAUSE)	0
85	TRUMP	— America is again winning each and every day.	0
86	SYSTEM	(APPLAUSE)	0
87	TRUMP	Members of Congress: The state of our union is strong.	0
88	SYSTEM	(APPLAUSE)	0
89	AUDIENCE	USA!	0
90	AUDIENCE	USA!	0
91	AUDIENCE	USA!	0
92	TRUMP	That sounds so good.	0
93	SYSTEM	(LAUGHTER)	0
94	TRUMP	Our country is vibrant and our economy is thriving like never before.	0
95	TRUMP	On Friday, it was announced that we added another 304,000 jobs last month alone — almost double the number expected.	0
96	SYSTEM	(APPLAUSE)	0
97	TRUMP	An economic miracle is taking place in the United States, and the only thing that can stop it are foolish wars, politics, or ridiculous partisan investigations.	0
98	SYSTEM	(APPLAUSE)	0
99	TRUMP	If there is going to be peace and legislation, there cannot be war and investigation.	0
100	TRUMP	It just doesn’t work that way.	0
101	TRUMP	We must be united at home to defeat our adversaries abroad.	0
102	TRUMP	This new era of cooperation can start with finally confirming the more than 300 highly qualified nominees who are still stuck in the Senate.	0
103	TRUMP	In some cases, years and years waiting.	0
104	TRUMP	Not right.	0
105	SYSTEM	(APPLAUSE)	0
106	TRUMP	The Senate has failed to act on these nominations, which is unfair to the nominees and very unfair to our country.	0
107	TRUMP	Now is the time for bipartisan action.	0
108	TRUMP	Believe it or not, we have already proven that that’s possible.	0
109	TRUMP	In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms.	1
110	TRUMP	And after four decades of rejection, we passed VA Accountability so that we can finally terminate those who mistreat our wonderful veterans.	1
111	SYSTEM	(APPLAUSE)	0
112	TRUMP	And just weeks ago, both parties united for groundbreaking criminal justice reform.	0
113	TRUMP	They said it couldn’t be done.	0
114	SYSTEM	(APPLAUSE)	0
115	TRUMP	Last year, I heard, through friends, the story of Alice Johnson.	0
116	TRUMP	I was deeply moved.	0
117	TRUMP	In 1997, Alice was sentenced to life in prison as a first-time non-violent drug offender.	0
118	TRUMP	Over the next 22 years, she became a prison minister, inspiring others to choose a better path.	0
119	TRUMP	She had a big impact on that prison population, and far beyond.	0
120	TRUMP	Alice’s story underscores the disparities and unfairness that can exist in criminal sentencing, and the need to remedy this total injustice.	0
121	TRUMP	She served almost that 22 years and had expected to be in prison for the remainder of her life.	0
122	TRUMP	In June, I commuted Alice’s sentence.	0
123	TRUMP	When I saw Alice’s beautiful family greet her at the prison gates, hugging and kissing and crying and laughing, I knew I did something right.	0
124	TRUMP	Alice is with us tonight, and she is a terrific woman.	0
125	TRUMP	Terrific.	0
126	TRUMP	Alice, please.	0
127	SYSTEM	(APPLAUSE)	0
128	TRUMP	Alice, thank you for reminding us that we always have the power to shape our own destiny.	0
129	TRUMP	Thank you very much, Alice.	0
130	TRUMP	Thank you very much.	0
131	SYSTEM	(APPLAUSE)	0
132	TRUMP	Inspired by stories like Alice’s, my administration worked closely with members of both parties to sign the FIRST STEP Act into law.	0
133	TRUMP	Big deal.	0
134	SYSTEM	(APPLAUSE)	0
135	TRUMP	It’s a big deal.	0
136	TRUMP	This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community.	0
137	TRUMP	The FIRST STEP Act gives non-violent offenders the chance to reenter society as productive, law-abiding citizens.	0
138	TRUMP	Now states across the country are following our lead.	0
139	TRUMP	America is a nation that believes in redemption.	0
140	TRUMP	We are also joined tonight by Matthew Charles from Tennessee.	0
141	TRUMP	In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses.	0
142	TRUMP	Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates.	0
143	TRUMP	Now, Matthew is the very first person to be released from prison under the FIRST STEP Act.	0
144	SYSTEM	(APPLAUSE)	0
145	TRUMP	Matthew, please.	0
146	TRUMP	Thank you, Matthew.	0
147	TRUMP	Welcome home.	0
148	SYSTEM	(APPLAUSE)	0
149	TRUMP	Now, Republicans and Democrats must join forces again to confront an urgent national crisis.	0
150	TRUMP	Congress has 10 days left to pass a bill that will fund our government, protect our homeland, and secure our very dangerous southern border.	0
151	TRUMP	Now is the time for Congress to show the world that America is committed to ending illegal immigration and putting the ruthless coyotes, cartels, drug dealers, and human traffickers out of business.	0
152	SYSTEM	(APPLAUSE)	0
153	TRUMP	As we speak, large, organized caravans are on the march to the United States.	0
154	TRUMP	We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection.	0
155	TRUMP	I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught.	0
156	TRUMP	This is a moral issue.	0
157	TRUMP	The lawless state of our southern border is a threat to the safety, security, and financial wellbeing of all America.	0
158	TRUMP	We have a moral duty to create an immigration system that protects the lives and jobs of our citizens.	0
159	TRUMP	This includes our obligation to the millions of immigrants living here today who followed the rules and respected our laws.	0
160	TRUMP	Legal immigrants enrich our nation and strengthen our society in countless ways.	0
161	SYSTEM	(APPLAUSE)	0
162	TRUMP	I want people to come into our country in the largest numbers ever, but they have to come in legally.	0
163	SYSTEM	(APPLAUSE)	0
164	TRUMP	Tonight, I am asking you to defend our very dangerous southern border out of love and devotion to our fellow citizens and to our country.	0
165	TRUMP	No issue better illustrates the divide between America’s working class and America’s political class than illegal immigration.	0
166	TRUMP	Wealthy politicians and donors push for open borders while living their lives behind walls, and gates, and guards.	0
167	SYSTEM	(APPLAUSE)	0
168	TRUMP	Meanwhile, working-class Americans are left to pay the price for mass illegal migration: reduced jobs, lower wages, overburdened schools, hospitals that are so crowded you can’t get in, increased crime, and a depleted social safety net.	0
169	TRUMP	"Tolerance for illegal immigration is not compassionate; it is actually very cruel."	0
170	SYSTEM	(APPLAUSE)	0
171	TRUMP	One in three women is sexually assaulted on the long journey north.	0
172	TRUMP	Smugglers use migrant children as human pawns to exploit our laws and gain access to our country.	0
173	TRUMP	Human traffickers and sex traffickers take advantage of the wide-open areas between our ports of entry to smuggle thousands of young girls and women into the United States and to sell them into prostitution and modern-day slavery.	1
174	TRUMP	Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities, including meth, heroin, cocaine, and fentanyl.	1
175	TRUMP	The savage gang, MS-13, now operates in at least 20 different American states, and they almost all come through our southern border.	0
176	TRUMP	Just yesterday, an MS-13 gang member was taken into custody for a fatal shooting on a subway platform in New York City.	0
177	TRUMP	We are removing these gang members by the thousands.	0
178	TRUMP	But until we secure our border, they’re going to keep streaming right back in.	0
179	TRUMP	Year after year, countless Americans are murdered by criminal illegal aliens.	1
180	TRUMP	I’ve gotten to know many wonderful Angel moms and dads, and families.	0
181	TRUMP	No one should ever have to suffer the horrible heartache that they have had to endure.	0
182	TRUMP	Here tonight is Debra Bissell.	0
183	TRUMP	Just three weeks ago, Debra’s parents, Gerald and Sharon, were burglarized and shot to death in their Reno, Nevada home by an illegal alien.	0
184	TRUMP	They were in their eighties, and are survived by 4 children, 11 grandchildren, and 20 great-grandchildren.	0
185	TRUMP	Also here tonight are Gerald and Sharon’s granddaughter Heather, and great-granddaughter Madison.	0
186	TRUMP	To Debra, Heather, Madison, please stand.	0
187	TRUMP	Few can understand your pain.	0
188	TRUMP	Thank you.	0
189	TRUMP	And thank you for being here.	0
190	TRUMP	Thank you very much.	0
191	SYSTEM	(APPLAUSE)	0
192	TRUMP	I will never forget, and I will fight for the memory of Gerald and Sharon that it should never happen again.	0
193	TRUMP	Not one more American life should be lost because our nation failed to control its very dangerous border.	0
194	TRUMP	In the last two years, our brave ICE officers made 266,000 arrests of criminal aliens, including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, and 4,000 killings or murders.	0
195	TRUMP	We are joined tonight by one of those law enforcement heroes: ICE Special Agent Elvin Hernandez.	0
196	TRUMP	When Elvin —	0
197	SYSTEM	(APPLAUSE)	0
198	TRUMP	— thank you.	0
199	TRUMP	When Elvin was a boy, he and his family legally immigrated to the United States from the Dominican Republic.	0
200	TRUMP	At the age of eight, Elvin told his dad he wanted to become a Special Agent.	0
201	TRUMP	Today, he leads investigations into the scourge of international sex trafficking.	0
202	TRUMP	"Elvin says that, ""If I can make sure these young girls get their justice, I’ve [really] done my job."""	0
203	TRUMP	Thanks to his work, and that of his incredible colleagues, more than 300 women and girls have been rescued from the horror of this terrible situation, and more than 1,500 sadistic traffickers have been put behind bars.	0
204	SYSTEM	(APPLAUSE)	0
205	TRUMP	Thank you, Elvin.	0
206	TRUMP	We will always support the brave men and women of law enforcement, and I pledge to you tonight that I will never abolish our heroes from ICE.	0
207	TRUMP	Thank you.	0
208	SYSTEM	(APPLAUSE)	0
209	TRUMP	My administration has sent to Congress a commonsense proposal to end the crisis on the southern border.	0
210	TRUMP	It includes humanitarian assistance, more law enforcement, drug detection at our ports, closing loopholes that enable child smuggling, and plans for a new physical barrier, or wall, to secure the vast areas between our ports of entry.	0
211	TRUMP	In the past, most of the people in this room voted for a wall, but the proper wall never got built.	0
212	TRUMP	I will get it built.	0
213	SYSTEM	(APPLAUSE)	0
214	TRUMP	This is a smart, strategic, see-through steel barrier — not just a simple concrete wall.	0
215	TRUMP	It will be deployed in the areas identified by the border agents as having the greatest need.	0
216	TRUMP	And these agents will tell you: Where walls go up, illegal crossings go way, way down.	1
217	SYSTEM	(APPLAUSE)	0
218	TRUMP	San Diego used to have the most illegal border crossings in our country.	1
219	TRUMP	In response, a strong security wall was put in place.	0
220	TRUMP	This powerful barrier almost completely ended illegal crossings.	1
221	TRUMP	The border city of El Paso, Texas used to have extremely high rates of violent crime — one of the highest in the entire country, and considered one of our nation’s most dangerous cities.	1
222	TRUMP	Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.	1
223	TRUMP	Simply put: Walls work, and walls save lives.	1
224	SYSTEM	(APPLAUSE)	0
225	TRUMP	So let’s work together, compromise, and reach a deal that will truly make America safe.	0
226	TRUMP	As we work to defend our people’s safety, we must also ensure our economic resurgence continues at a rapid pace.	0
227	TRUMP	No one has benefitted more from our thriving economy than women, who have filled 58 percent of the newly created jobs last year.	0
228	SYSTEM	(APPLAUSE)	0
229	TRUMP	You weren’t supposed to do that.	0
230	TRUMP	Thank you very much.	0
231	TRUMP	Thank you very much.	0
232	TRUMP	All Americans can be proud that we have more women in the workforce than ever before.	1
233	SYSTEM	(APPLAUSE)	0
234	TRUMP	Don’t sit yet.	0
235	TRUMP	You’re going to like this.	0
236	SYSTEM	(LAUGHTER)	0
237	TRUMP	And exactly one century after Congress passed the constitutional amendment giving women the right to vote, we also have more women serving in Congress than at any time before.	0
238	SYSTEM	(APPLAUSE)	0
239	AUDIENCE	USA!	0
240	AUDIENCE	USA!	0
241	AUDIENCE	USA!	0
242	TRUMP	That’s great.	0
243	TRUMP	Really great.	0
244	TRUMP	And congratulations.	0
245	TRUMP	That’s great.	0
246	TRUMP	As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first-ever government-wide initiative focused on economic empowerment for women in developing countries.	0
247	TRUMP	To build on —	0
248	SYSTEM	(APPLAUSE)	0
249	TRUMP	— thank you.	0
